Data element,Period,OrganisationUnit,CategoryCombo,AttributeCombo,Value
,2018Q1,,,JVafaPfopJf,3
,2018Q1,,,JVafaPfopJf,16
,2018Q1,,,JVafaPfopJf,15
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,52
,2018Q1,,,JVafaPfopJf,1
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,38
,2018Q1,,,JVafaPfopJf,8
,2018Q1,,,JVafaPfopJf,13
,2018Q1,,,JVafaPfopJf,1
,2018Q1,,,JVafaPfopJf,18
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,7
,2018Q1,,,JVafaPfopJf,4
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,57
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,3
,2018Q1,,,JVafaPfopJf,24
,2018Q1,,,JVafaPfopJf,4
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,22
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,6
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,3
,2018Q1,,,JVafaPfopJf,20
,2018Q1,,,JVafaPfopJf,1
,2018Q1,,,JVafaPfopJf,11
,2018Q1,,,JVafaPfopJf,7
,2018Q1,,,JVafaPfopJf,8
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,1
,2018Q1,,,JVafaPfopJf,8
,2018Q1,,,JVafaPfopJf,30
,2018Q1,,,JVafaPfopJf,25
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,1
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,2
